<sakura>「綱手さま・・・<w16>　どうして　わたしを|“でし”として　みとめてくれたんですか？」=<sakura>Say, Lady Tsunade...<w16> Why did you accept me as your student?
<tsunade>「ん？<w16>　ああ　そのことか<w5>・<w5>・<w5>・|いいだろう　おしえてやる　・・・<w5>まず」=<tsunade>Hm?<w16> Why did I accept you, huh...
「いりょう忍者というのは　せんとうとは|べつに　ひつようなのうりょくがある」=Not just anyone can become a Medical Ninja, you see.
「・・・まずは　ちみつな|<blue>“チャクラコントロール”<black>　・・・つぎに」=It needs a degree of <blue>Chakra Control <black>that not everyone can attain.
「たくさんの　せんもんちしきをおさめ|それをひろく　おうようする<blue>“ずのう”<black>」=You must have the <blue>brain power<black> to not only learn, but apply knowledge.
「そして　<blue>“こんき”<black>・・・」=And of course, you need <blue>patience<black>.
「この３てんにおいては　カカシからの|ほうこくで　すでにかくにんずみだ！　ただし」=Kakashi told me you possess all three of these qualities.
「いちりゅうの　いりょう忍者にそだつものには|なにより　たいせつなものがいる」=But above all, you need a reason to keep going.
「サクラ・・・<w16>　おまえには？」=Tell me, Sakura...<w16> what is your reason?
<sakura>（わたしの　たいせつなもの<w5>・<w5>・<w5>・|サスケくん<w5>・<w5>・<w5>・<w21>　ナルト<w5>・<w5>・<w5>・）=<sakura>(My reason is<w5>.<w5>.<w5>.Sasuke<w5>.<w5>.<w5>.<w21>and Naruto<w5>.<w5>.<w5>.)
<tsunade>「フフッ<w5>・<w5>・<w5>・<w21>　だからさ！」=<tsunade>*Chuckle*|Has that answered your question?
<sakura>「・・・ハイ」=<sakura>...Yes.
